Community, Company, Web, Phone, Email, Address 
Abbeydale, Abbeydale Community Association, http://abbeydaleca.com/, (403) 248-2229, hallmanager@abbeydaleca.com, 821 Abbeydale Drive NE 
Acadia, Acadia Community Association, http://acadiaca.com, (403) 255-1252, pres@acadiaca.com, 240 - 90 Avenue SE 
Albert Park, Albert Park / Radisson Heights Community Association, http://aprh.ca, (403) 272-7317, aprh@shaw.ca, 1310 - 28 St. SE 
Altadore, Marda Loop Community Association, http://mardaloop.com/, (403) 244-5411, 3130 - 16 Street SW, 3130 - 16 Street SW 
Applewood Park, Applewood Park Community Association, http://applewoodpark.ca/, Call us at (403) 244-4111 for contact info, info@applewoodpark.ca, No Rental Facilities 
Arbour Lake, Arbour Lake Community Association, http://www.arbourlakecommunity.com, Call us at (403) 244-4111 for contact info, info@arbourlakecommunity.com, No Rental Facilities 
Aspen Woods, Strathcona Christie Aspen Community Association, http://SCACalgary.ca/, (403) 249-1138, info@SCACalgary.ca, 277 Strathcona Drive SW 
Auburn Bay, Auburn Bay Community Association, https://www.auburnbayliving.ca/, Call us at (403) 244-4111 for contact info, auburnbayca@gmail.com, No Rental Facilities 
Banff Trail, Banff Trail Community Association, http://banfftrailcommunity.ca, (403) 282-2234, hallmanager@banfftrailcommunity.ca, 2115 - 20 Avenue NW 
Bankview, Bankview Community Association, http://bankview.org, (403) 244-2544, coordinator@bankview.org, 2418 - 17 Street SW 
Bayview, Palliser – Bayview – Pumphill Community Association, http://pbpcommunity.ca/, (403) 281-1908, pbpcam@pbpcommunity.ca, 2323 Palliser Drive SW 
Beddington Heights, Beddington Heights Community Association, http://beddingtoncommunity.ca, (403) 295-8836, bhca@beddingtoncommunity.ca, No Rental Facilities 
Bel-Aire, Mayfair Bel-Aire Community Association, http://mayfairbelaire.ca, Call us at (403) 244-4111 for contact info, No Rental Facilities, No Rental Facilities 
Belfast, Crossroads Community Association, https://www.crossroadsyyc.com/," (403) 277-6201			", manager@crossroadsyyc.com, 1803 - 14 Avenue NE 
Beltline, Beltline Neighbourhoods Association, http://beltlineyyc.ca, Call us at (403) 244-4111 for contact info, info@beltlineyyc.ca, 1515 Centre Street S 
Bonavista Downs, Bonavista Downs Community Association, http://bonavistadowns.com, (403) 271-6116, 1418 Lake Ontario Road SE, 1418 Lake Ontario Road SE 
Bowness, Bowness Community Association, https://mybowness.com, (403) 288-8300, iheartbowness@mybowness.com, 7904 - 43 Avenue NW 
Braeside, Braeside Community Association, http://www.calgaryarea.com/sw/braeside/braeside.htm, (403) 253-4232, 11024 Braeside Drive SW, 11024 Braeside Drive SW 
